id,title,venue,authors,year,abstract,citations,influential_citations,CPS,Blockchain,IoT,Fault Tolerance,Distributed Systems,sim_max,S_Quali,C_Norm,V_Norm,S_Quant,Score_Global
https://openalex.org/W4385692400,Cheaper than you thought? A dive into the darkweb market of cyber-crime products,ARES (Validação DBLP),"Dimitrios Georgoulias, Ricardo Yaben, Emmanouil Vasilomanolakis",2023,"The darkweb is nowadays considered a very popular place to sell and buy illegal cyber-crime related content. From botnet services and malware, to user data such as credit card information and passwords, darkweb marketplaces offer ease of use, product variety, and most importantly effective anonymity to both buyers and vendors. In this paper, we crawl 8 popular darkweb marketplaces and perform a comprehensive quantitative analysis with a focus on cyber-crime related products. Moreover, we report some preliminary findings when examining the same marketplaces through their I2P mirrors. Our results suggest that overall there is a multitude of products that fall into the cyber-crime category, with products under the Fraud category dominating the market, and that the average cyber-crime products’ price is relatively low. Furthermore, we explore how the vendors of this specific product group are distributed across platforms, utilizing harvested information such as usernames and PGP keys, and investigate how their reputation scores affect their operation.",12,12,0.5162,0.6062,0.4962,0.4618,0.5237,0.6062,2.0,,,,
https://openalex.org/W4413244732,Safety and Cybersecurity Under Emerging EU Legislation for Industry: A Use-Case Driven Perspective,ARES (Validação DBLP),"Ndeye G. Ndiaye, Karl Waedt, Nicolas Dejon, Chrystel Gaber, Achilleas Marinakis, Christos A. Gizelis, Gürkan Gür, Marc Rennhard, Oumayma Zeddini, Jean-Philippe Wary, Dominico Orlando, Claire Loiseaux, Vangelis Photiou, Nikolaos Koulierakis, Vasiliki Danilatou",2025,Resumo não disponível,2,2,0.6053,0.5161,0.5371,0.5283,0.5029,0.6053,0.0,,,,
https://openalex.org/W4413255951,EDURange Cloud: On Demand Cybersecurity Sandboxes Through Kubernetes,ARES (Validação DBLP),"Ryder Selikow, Jens Mache, Jack Cook, Joseph Granville, Richard Weiss, Hsiao-An Wang",2025,Resumo não disponível,1,1,0.5196,0.5369,0.4947,0.5385,0.6113,0.6113,0.0,,,,
https://openalex.org/W4413239870,Digital Twin Technology for Sustainable Shipping: Establishing Cyber-Security Challenges and Opportunities,ARES (Validação DBLP),"Athanasios Chalmoukis, Maria Lambrou",2025,Resumo não disponível,0,0,0.6091,0.5655,0.5272,0.5372,0.5449,0.6091,0.0,,,,
https://openalex.org/W4413244742,Are Trees Really Green? A Detection Approach of IoT Malware Attacks,ARES (Validação DBLP),"Silvia Lucia Sanna, Diego Soi, Davide Maiorca, Giorgio Giacinto",2025,Resumo não disponível,0,0,0.4671,0.4919,0.6152,0.4465,0.4687,0.6152,0.0,,,,
https://openalex.org/W4413255975,Psychological and Behavioral Aspects and System Dynamics: Insights from Exercises Using a Cyber Range,ARES (Validação DBLP),"José Manuel Castillo, Nicolas Louveton, Marc Parenthoen",2025,Resumo não disponível,0,0,0.6037,0.4885,0.4788,0.5525,0.5425,0.6037,0.0,,,,
https://openalex.org/W4293024991,MITRE ATT&amp;CK-driven Cyber Risk Assessment,ARES (Validação DBLP),"Mohamed Ahmed, Sakshyam Panda, Christos Xenakis, Emmanouil Panaousis",2022,"Assessing the risk posed by Advanced Cyber Threats (APTs) is challenging without understanding the methods and tactics adversaries use to attack an organisation. The MITRE ATT&CK provides information on the motivation, capabilities, interests and tactics, techniques and procedures (TTPs) used by threat actors. In this paper, we leverage these characteristics of threat actors to support informed cyber risk characterisation and assessment. In particular, we utilise the MITRE repository of known adversarial TTPs along with attack graphs to determine the attack probability as well as the likelihood of success of an attack. We further identify attack paths with the highest likelihood of success considering the techniques and procedures of a threat actor. The assessment is supported by a case study of a health care organisation to identify the level of risk against two adversary groups– Lazarus and menuPass.",44,44,0.5654,0.5262,0.4864,0.4929,0.5178,0.5654,0.0,,,,
https://openalex.org/W4292158698,GTM: Game Theoretic Methodology for optimal cybersecurity defending strategies and investments,ARES (Validação DBLP),"Ioannis Kalderemidis, Aristeidis Farao, Panagiotis Bountakas, Sakshyam Panda, Christos Xenakis",2022,"Investments on cybersecurity are essential for organizations to protect operational activities, develop trust relationships with clients, and maintain financial stability. A cybersecurity breach can lead to financial losses as well as to damage the reputation of an organization. Protecting an organization from cyber attacks demands considerable investments; however, it is known that organisations unequally divide their budget between cybersecurity and other technological needs. Organizations must consider cybersecurity measures, including but not limited to security controls, in their cybersecurity investment plans. Nevertheless, designing an effective cybersecurity investment plan to optimally distribute the cybersecurity budget is a primary concern.",20,20,0.5296,0.5419,0.4483,0.5195,0.5155,0.5419,0.0,,,,
https://openalex.org/W4292158626,SoK: Applications and Challenges of using Recommender Systems in Cybersecurity Incident Handling and Response,ARES (Validação DBLP),"Martin Husák, Milan Čermák",2022,"Incident handling, a fundamental activity of a cybersecurity incident response team, is a complex discipline that consumes a significant amount of personnel’s time and costs. There are continuous efforts to facilitate incident handling and response in terms of providing procedural or decision support and processing relevant data. In this paper, we survey the approaches towards (semi-)automated incident handling and response backed by recommender systems that are successful in other domains. We discuss which phases and tiers of incident handling can be automated and to what level while evaluating the maturity of proposed approaches and tools. While we did not find a full-scale recommender system that would guide the user through incident handling and suggest which steps to take, many of them aim at particular problems. The discussed issues are not resolved yet but seem to get the attention of researchers and will likely be investigated in the future.",18,18,0.5797,0.4926,0.5262,0.5382,0.585,0.585,0.0,,,,
https://openalex.org/W4293637522,Properties for Cybersecurity Awareness Posters’ Design and Quality Assessment,ARES (Validação DBLP),"Sunil Chaudhary, Marko Kompara, Sebastian Pape, Vasileios Gkioulos",2022,"Posters are widely in practice to communicate cybersecurity awareness (CSA) messages. This popularity could be because it is one of the simplest mechanisms, and most people are accustomed to poster usage. Despite this, very little effort has been made to make the CSA poster design and assessment more systematic. Due to this, there exists a wide variation in CSA poster design. Alarmingly, many of them do not align with the needs and objectives of CSA. This study, therefore, intends to collect and analyze the properties that can guide the production of more uniform and effective posters for CSA purposes. At the same time, the study contributes to making the poster design and quality assessment approach more systematic. In order to do so, this study used a literature review for the elicitation of properties and an online assessment to analyze the relevancy of the elicited properties. As a final result, the study provides six main properties (i.e., topic, information quality, message framing, suggestions quality, content presentation, localization, and style and formatting) and their respective twenty-one sub-properties that can facilitate CSA poster design and its quality assessment.",10,10,0.5905,0.4795,0.4947,0.5136,0.5323,0.5905,0.0,,,,
